taxon_name,common name,status,life_cycle,flower_color,bloom_start,bloom_end,jepson id,calrecnum,inat id,cch2_id,fna,calscape_cn,calipc,RPI ID,CRPR,CESA,FESA,SRank,GRank
Antirrhinum kelloggii,,N,,,,,13568,401,165675,63029,Neogaerrhinum strictum,Kelloggs' Snapdragon
Antirrhinum majus,snapdragon,X,,,,,13557,404,48969,63033,true
Antirrhinum thompsonii,Sierra snapdragon,N,,pink,4,8,108978,14286,168306,207994,Sairocarpus multiflorus,Withered Snapdragon
Antirrhinum vexillocalyculatum subsp. vexillocalyculatum,,N,annual,purple,6,8,88873,10499,840919,206530,Sairocarpus vexillocalyculatus subsp. vexillocalyculatus
Aphanes occidentalis,western lady's mantle,N,annual,,3,5,13608,420,1452907,10074,true,Lady's Mantle
Aphyllon californicum subsp. jepsonii,,N,,,,,103325,13438,802459,202108,Orobanche californica subsp. jepsonii,Jepson's Broomrape
Aphyllon corymbosum,flat-top broomrape,N,annual,"pink,purple",6,8,103309,13440,802501,202109,Orobanche corymbosa,Flat-top Broomrape
Aphyllon epigalium subsp. epigalium,,N,,,,,103327,13527,809377,211137
Aphyllon fasciculatum,clustered broom-rape,N,,,,,100018,13441,802543,63056,Orobanche fasciculata,Fascicled Broom Rape
Aphyllon franciscanum,"yellow clustered broom-rape,Franciscan broom-rape",N,,,,,84892,14625,1303043,399790
Aphyllon pinorum,pinewoods broom-rape,N,,,,,13618,13445,802557,63057,Orobanche pinorum,Conifer Broomrape
Aphyllon purpureum,naked broom-rape,N,annual,purple,3,7,103312,13529,739040,202115,Orobanche uniflora subsp. occidentalis,Naked Broomrape
Aphyllon tuberosum,bulbous broom-rape,N,,,,,13614,13446,809373,63058,Orobanche bulbosa,Chaparral Broomrape
Aphyllon vallicola,hemp broom-rape,N,,,,,85145,14626,938507,416916,Orobanche vallicola,Hillside Broomrape
Apiastrum angustifolium,,N,,,,,13619,422,58777,202120,,Mock Parsley
Apium graveolens,celery,X,,,,,13622,423,58788,202122
Apium nodiflorum,,X,,,,,13623,424,332963,211138
Apocynum androsaemifolium,dogbane,N,perennial,white,5,10,13635,425,47359,63062,true,Bitter Dogbane
Apocynum cannabinum,Indian-hemp,N,perennial,,,,13639,426,58795,63063,true,Indianhemp Dogbane
Aquilegia eximia,,N,,,,,13665,429,57230,10123,true,Van Houtte's Columbine
Aquilegia formosa,,N,,,,,13668,430,48244,10126,true,Western Columbine
Arabidopsis thaliana,mouse-ear cress,X,,,,,13682,433,55021,10153,true
Arabis blepharophylla,coast rock cress,N,,,,,13690,436,60983,10166,true,Coast Rockcress,,182,4.3,,,S4,G4
Aralia californica,elk-clover,N,,,,,13860,504,52848,202125,,Elk's Clover
Arbutus menziesii,Pacific madrone,N,perennial,white,3,5,13872,506,51046,63080,true,Pacific Madrone
Arceuthobium campylopodum,western dwarf mistletoe,N,,,,,13881,510,55422,10362,true,Foothill Pine Dwarf Mistletoe
Arctostaphylos auriculata,Mt. Diablo manzanita,N,,,,,13905,533,48023,63093,true,Mount Diablo Manzanita,,203,1B.3,,,S2,G2
Arctostaphylos crustacea subsp. crustacea,,N,,,,,89190,11337,79587,94933,true,Brittle Leaf Manzanita
